MAL_ID,Name,English name
216,Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari,Welcome to Pia Carrot! Sayaka's Love Story
217,Shin Angel,New Angel
218,Kidou Senkan Nadesico,Martian Successor Nadesico
219,Kidou Senkan Nadesico: The Prince of Darkness,Martian Successor Nadesico:The Prince of Darkness
220,Kuro no Danshou,Mystery of the Necronomicon
221,Mezzo Forte,Unknown
222,Mezzo DSA,Unknown
223,Dragon Ball,Dragon Ball
225,Dragon Ball GT,Dragon Ball GT
226,Elfen Lied,Elfen Lied
227,FLCL,FLCL
228,Jigoku Shoujo,Hell Girl
229,Ninin ga Shinobuden,Ninja Nonsense
230,Air Master,Air Master
231,Asagiri no Miko,Shrine of the Morning Mist
232,Cardcaptor Sakura,Cardcaptor Sakura
233,Daa! Daa! Daa!,Unknown
234,Dan Doh!!,Unknown
235,Detective Conan,Case Closed
236,E's Otherwise,E's Otherwise
237,Koukyoushihen Eureka Seven,Eureka Seven
238,Rekka no Honoo,Flame of Recca
239,Gankutsuou,Gankutsuou:The Count of Monte Cristo
240,Genshiken,Genshiken
241,Girls Bravo: First Season,Girls Bravo
242,Gokusen,The Gokusen
243,Gravitation,Gravitation
244,Agatha Christie no Meitantei Poirot to Marple,Agatha Christie's Great Detectives Poirot and Marple
245,Great Teacher Onizuka,Great Teacher Onizuka
246,Groove Adventure Rave,Rave Master
247,Harukanaru Toki no Naka de: Hachiyou Shou,Haruka:Beyond the Stream of Time – A Tale of the Eight Guardians
248,Ichigo 100%,Strawberry 100%
249,InuYasha,InuYasha
250,Konjiki no Gash Bell!!,Zatch Bell!
251,Kyou kara Maou!,King From Now On!
252,Madlax,Unknown
253,Jungle wa Itsumo Hare nochi Guu,Haré+Guu
254,Jungle wa Itsumo Hare nochi Guu Deluxe,Haré+Guu Deluxe
255,Jungle wa Itsumo Hare nochi Guu Final,Unknown
256,Hoshi no Koe,Voices of a Distant Star
257,Ikkitousen,Ikki Tousen
258,Hitsuji no Uta,Unknown
259,Happy☆Lesson,Unknown
260,Happy☆Lesson (TV),Unknown
261,Happy☆Lesson: Advance,Unknown
262,Happy☆Lesson: The Final,Unknown
263,Hajime no Ippo,Fighting Spirit
264,Hajime no Ippo: Champion Road,Fighting Spirit:Champion Road
265,Hajime no Ippo: Mashiba vs. Kimura,Unknown
266,Gunparade March: Arata Naru Kougunka,Gunparade March:A New Song for the March
267,Gungrave,Gungrave
268,Golden Boy,Golden Boy
269,Bleach,Bleach
270,Hellsing,Hellsing
271,Gad Guard,Unknown
272,Noir,Noir
273,Mahoutsukai ni Taisetsu na Koto,Someday's Dreamers
274,Kiddy Grade,Kiddy Grade
275,Love♥Love?,Love♥Love?
276,Mahoromatic: Automatic Maiden,Mahoromatic:Automatic Maiden
277,Mahoromatic: Motto Utsukushii Mono,Mahoromatic ~Something More Beautiful~
278,Viewtiful Joe,Unknown
279,Kyougoku Natsuhiko: Kousetsu Hyaku Monogatari,Requiem from the Darkness
280,Animal Yokochou,Animal Lane
281,Akane Maniax,Unknown
282,Angel Heart,Unknown
283,Akage no Anne,Anne of Green Gables
284,Area 88 (TV),Unknown
285,Argento Soma,Unknown
286,B'T X,Unknown
287,Grappler Baki (TV),Unknown
288,Bakuten Shoot Beyblade,Beyblade
289,Comic Party,Comic Party
290,Seikai no Monshou,Crest of the Stars
291,D.C.S.S: Da Capo Second Season,D.C.S.S. ~Da Capo Second Season~
292,Dear Boys,Hoop Days
293,Di Gi Charat,Unknown
294,Divergence Eve,Unknown
295,Divergence Eve 2: Misaki Chronicles,Misaki Chronicle:Divergence Eve
296,Dragon Drive,Dragon Drive
297,Grenadier: Hohoemi no Senshi,Grenadier:The Beautiful Warrior
298,.hack//Tasogare no Udewa Densetsu,.hack//Legend Of The Twilight
299,.hack//Liminality,.hack//Liminality
300,3x3 Eyes,3x3 Eyes
301,Cinderella Boy,Unknown
302,Mirai Shounen Conan,Future Boy Conan
